Name,Date,Open,High,Low,Close,Adj Close,Volume
AABAX,02/11/20,13.67,13.67,13.67,13.67,13.489189999999999,0.0
AABAX,02/12/20,13.71,13.71,13.71,13.71,13.528661999999999,0.0
AABAX,02/13/20,13.7,13.7,13.7,13.7,13.518794,0.0
AABAX,02/14/20,13.73,13.73,13.73,13.73,13.548397,0.0
AABAX,02/18/20,13.71,13.71,13.71,13.71,13.528661999999999,0.0
AABAX,02/19/20,13.73,13.73,13.73,13.73,13.548397,0.0
AABAX,02/20/20,13.71,13.71,13.71,13.71,13.528661999999999,0.0
AABAX,02/21/20,13.65,13.65,13.65,13.65,13.469454999999998,0.0
AABAX,02/24/20,13.45,13.45,13.45,13.45,13.2721,0.0
AABAX,02/25/20,13.25,13.25,13.25,13.25,13.074746000000001,0.0
AABAX,02/26/20,13.23,13.23,13.23,13.23,13.055011,0.0
AABAX,02/27/20,12.96,12.96,12.96,12.96,12.788582,0.0
AABAX,02/28/20,12.96,12.96,12.96,12.96,12.788582,0.0
AABAX,03/02/20,13.21,13.21,13.21,13.21,13.035275,0.0
AABAX,03/03/20,13.05,13.05,13.05,13.05,12.877393,0.0
AABAX,03/04/20,13.32,13.32,13.32,13.32,13.143819,0.0
AABAX,03/05/20,13.12,13.12,13.12,13.12,12.946465,0.0
AABAX,03/06/20,13.07,13.07,13.07,13.07,12.897126,0.0
AABAX,03/09/20,12.59,12.59,12.59,12.59,12.423475999999999,0.0
AABAX,03/10/20,12.79,12.79,12.79,12.79,12.620830999999999,0.0
AABAX,03/11/20,12.45,12.45,12.45,12.45,12.285327,0.0
AABAX,03/12/20,11.83,11.83,11.83,11.83,11.673528,0.0
AABAX,03/13/20,12.27,12.27,12.27,12.27,12.107709,0.0
AABAX,03/16/20,11.56,11.56,11.56,11.56,11.4071,0.0
AABAX,03/17/20,11.78,11.78,11.78,11.78,11.624188,0.0
AABAX,03/18/20,11.34,11.34,11.34,11.34,11.190010000000001,0.0
AABAX,03/19/20,11.35,11.35,11.35,11.35,11.199877,0.0
AABAX,03/20/20,11.1,11.1,11.1,11.1,10.953183000000001,0.0
AABAX,03/23/20,10.99,10.99,10.99,10.99,10.844639,0.0
AABAX,03/24/20,11.47,11.47,11.47,11.47,11.31829,0.0
AABAX,03/25/20,11.57,11.57,11.57,11.57,11.416966,0.0
AABAX,03/26/20,11.97,11.97,11.97,11.97,11.811676,0.0
AABAX,03/27/20,11.82,11.82,11.82,11.82,11.66366,0.0
AABAX,03/30/20,12.04,12.04,12.04,12.04,11.88075,0.0
AABAX,03/31/20,11.93,11.93,11.93,11.93,11.801611999999999,0.0
AABAX,04/01/20,11.69,11.69,11.69,11.69,11.564194,0.0
AABAX,04/02/20,11.81,11.81,11.81,11.81,11.682903999999999,0.0
AABAX,04/03/20,11.72,11.72,11.72,11.72,11.593872,0.0
AABAX,04/06/20,12.11,12.11,12.11,12.11,11.979674000000001,0.0
AABAX,04/07/20,12.1,12.1,12.1,12.1,11.969783,0.0
AABAX,04/08/20,12.29,12.29,12.29,12.29,12.157738,0.0
AABAX,04/09/20,12.43,12.43,12.43,12.43,12.296231,0.0
AABAX,04/13/20,12.36,12.36,12.36,12.36,12.226984,0.0
AABAX,04/14/20,12.54,12.54,12.54,12.54,12.405046,0.0
AABAX,04/15/20,12.41,12.41,12.41,12.41,12.276444999999999,0.0
AABAX,04/16/20,12.45,12.45,12.45,12.45,12.316015,0.0
AABAX,04/17/20,12.6,12.6,12.6,12.6,12.464400999999999,0.0
AABAX,04/20/20,12.5,12.5,12.5,12.5,12.365478,0.0
AABAX,04/21/20,12.32,12.32,12.32,12.32,12.187414,0.0
AABAX,04/22/20,12.46,12.46,12.46,12.46,12.325908,0.0
AABAX,04/23/20,12.46,12.46,12.46,12.46,12.325908,0.0
AABAX,04/24/20,12.54,12.54,12.54,12.54,12.405046,0.0
AABAX,04/27/20,12.63,12.63,12.63,12.63,12.494078,0.0
AABAX,04/28/20,12.63,12.63,12.63,12.63,12.494078,0.0
AABAX,04/29/20,12.79,12.79,12.79,12.79,12.652355,0.0
AABAX,04/30/20,12.7,12.7,12.7,12.7,12.563325,0.0
AABAX,05/01/20,12.52,12.52,12.52,12.52,12.385261999999999,0.0
AABAX,05/04/20,12.55,12.55,12.55,12.55,12.41494,0.0
AABAX,05/05/20,12.6,12.6,12.6,12.6,12.464400999999999,0.0
AABAX,05/06/20,12.54,12.54,12.54,12.54,12.405046,0.0
AABAX,05/07/20,12.64,12.64,12.64,12.64,12.503971,0.0
AABAX,05/08/20,12.74,12.74,12.74,12.74,12.602895,0.0
AABAX,05/11/20,12.72,12.72,12.72,12.72,12.583110000000001,0.0
AABAX,05/12/20,12.59,12.59,12.59,12.59,12.454509,0.0
AABAX,05/13/20,12.48,12.48,12.48,12.48,12.345692999999999,0.0
AABAX,05/14/20,12.57,12.57,12.57,12.57,12.434724000000001,0.0
AABAX,05/15/20,12.59,12.59,12.59,12.59,12.454509,0.0
AABAX,05/18/20,12.79,12.79,12.79,12.79,12.652355,0.0
AABAX,05/19/20,12.73,12.73,12.73,12.73,12.593,0.0
AABAX,05/20/20,12.86,12.86,12.86,12.86,12.721603,0.0
AABAX,05/21/20,12.8,12.8,12.8,12.8,12.66225,0.0
AABAX,05/22/20,12.82,12.82,12.82,12.82,12.682034,0.0
AABAX,05/26/20,12.92,12.92,12.92,12.92,12.780957,0.0
AABAX,05/27/20,13.04,13.04,13.04,13.04,12.899664999999999,0.0
AABAX,05/28/20,13.03,13.03,13.03,13.03,12.889773,0.0
AABAX,05/29/20,13.08,13.08,13.08,13.08,12.939235,0.0
AABAX,06/01/20,13.12,13.12,13.12,13.12,12.978805,0.0
AABAX,06/02/20,13.18,13.18,13.18,13.18,13.038159,0.0
AABAX,06/03/20,13.28,13.28,13.28,13.28,13.137082000000001,0.0
AABAX,06/04/20,13.25,13.25,13.25,13.25,13.107407,0.0
AABAX,06/05/20,13.44,13.44,13.44,13.44,13.295361999999999,0.0
AABAX,06/08/20,13.54,13.54,13.54,13.54,13.394285,0.0
AABAX,06/09/20,13.48,13.48,13.48,13.48,13.334929999999998,0.0
AABAX,06/10/20,13.44,13.44,13.44,13.44,13.295361999999999,0.0
AABAX,06/11/20,13.0,13.0,13.0,13.0,12.860097,0.0
AABAX,06/12/20,13.09,13.09,13.09,13.09,12.949128,0.0
AABAX,06/15/20,13.15,13.15,13.15,13.15,13.008482,0.0
AABAX,06/16/20,13.29,13.29,13.29,13.29,13.146976,0.0
AABAX,06/17/20,13.26,13.26,13.26,13.26,13.117298000000002,0.0
AABAX,06/18/20,13.27,13.27,13.27,13.27,13.127192,0.0
AABAX,06/19/20,13.24,13.24,13.24,13.24,13.097513000000001,0.0
AABAX,06/22/20,13.28,13.28,13.28,13.28,13.137082000000001,0.0
AABAX,06/23/20,13.31,13.31,13.31,13.31,13.166761,0.0
AABAX,06/24/20,13.11,13.11,13.11,13.11,12.968912,0.0
AABAX,06/25/20,13.2,13.2,13.2,13.2,13.057943,0.0
AABAX,06/26/20,13.05,13.05,13.05,13.05,12.909559,0.0
AABAX,06/29/20,13.15,13.15,13.15,13.15,13.008482,0.0
AABAX,06/30/20,13.22,13.22,13.22,13.22,13.119632999999999,0.0
AABAX,07/01/20,13.24,13.24,13.24,13.24,13.139479999999999,0.0
AABAX,07/02/20,13.28,13.28,13.28,13.28,13.179176000000002,0.0
AABAX,07/06/20,13.4,13.4,13.4,13.4,13.298264999999999,0.0
AABAX,07/07/20,13.32,13.32,13.32,13.32,13.218872,0.0
AABAX,07/08/20,13.39,13.39,13.39,13.39,13.288342000000002,0.0
AABAX,07/09/20,13.36,13.36,13.36,13.36,13.258567999999999,0.0
AABAX,07/10/20,13.42,13.42,13.42,13.42,13.318113,0.0
AABAX,07/13/20,13.35,13.35,13.35,13.35,13.248645000000002,0.0
AABAX,07/14/20,13.46,13.46,13.46,13.46,13.35781,0.0
AABAX,07/15/20,13.54,13.54,13.54,13.54,13.437201000000002,0.0
AABAX,07/16/20,13.51,13.51,13.51,13.51,13.407429999999998,0.0
AABAX,07/17/20,13.54,13.54,13.54,13.54,13.437201000000002,0.0
AABAX,07/20/20,13.61,13.61,13.61,13.61,13.506670999999999,0.0
AABAX,07/21/20,13.65,13.65,13.65,13.65,13.546367000000002,0.0
AABAX,07/22/20,13.71,13.71,13.71,13.71,13.605910999999999,0.0
AABAX,07/23/20,13.63,13.63,13.63,13.63,13.526519,0.0
AABAX,07/24/20,13.58,13.58,13.58,13.58,13.476899,0.0
AABAX,07/27/20,13.65,13.65,13.65,13.65,13.546367000000002,0.0
AABAX,07/28/20,13.6,13.6,13.6,13.6,13.496747000000001,0.0
AABAX,07/29/20,13.7,13.7,13.7,13.7,13.595987,0.0
AABAX,07/30/20,13.68,13.68,13.68,13.68,13.576139000000001,0.0
AABAX,07/31/20,13.72,13.72,13.72,13.72,13.615835,0.0
AABAX,08/03/20,13.78,13.78,13.78,13.78,13.675379999999999,0.0
AABAX,08/04/20,13.82,13.82,13.82,13.82,13.715076000000002,0.0
AABAX,08/05/20,13.87,13.87,13.87,13.87,13.764695999999999,0.0
AABAX,08/06/20,13.91,13.91,13.91,13.91,13.804394,0.0
AABAX,08/07/20,13.91,13.91,13.91,13.91,13.804394,0.0
AABAX,08/10/20,13.92,13.92,13.92,13.92,13.814318,0.0
AABAX,08/11/20,13.85,13.85,13.85,13.85,13.744848999999999,0.0
AABAX,08/12/20,13.95,13.95,13.95,13.95,13.84409,0.0
AABAX,08/13/20,13.93,13.93,13.93,13.93,13.824242000000002,0.0
AABAX,08/14/20,13.92,13.92,13.92,13.92,13.814318,0.0
AABAX,08/17/20,13.96,13.96,13.96,13.96,13.854013,0.0
AABAX,08/18/20,13.98,13.98,13.98,13.98,13.873860999999998,0.0
AABAX,08/19/20,13.94,13.94,13.94,13.94,13.834166,0.0
