Name,Date,Open,High,Low,Close,Adj Close,Volume
AAL,02/11/20,29.059998999999998,29.940001000000002,28.969998999999998,29.84,29.84,8977700
AAL,02/12/20,30.0,30.780001000000002,29.99,30.469998999999998,30.469998999999998,9315400
AAL,02/13/20,30.030001000000002,30.4,29.73,30.09,30.09,9119400
AAL,02/14/20,30.01,30.27,29.139999,29.200001,29.200001,5524800
AAL,02/18/20,29.040001,29.35,28.49,28.629998999999998,28.629998999999998,10485100
AAL,02/19/20,28.84,28.879998999999998,28.309998999999998,28.33,28.33,8400700
AAL,02/20/20,28.24,28.9,28.200001,28.51,28.51,10093400
AAL,02/21/20,28.120001000000002,28.299999,27.17,27.82,27.82,11253600
AAL,02/24/20,25.98,26.110001,25.0,25.450001,25.450001,21713200
AAL,02/25/20,25.620001000000002,25.75,23.049999,23.120001000000002,23.120001000000002,22296900
AAL,02/26/20,23.57,23.75,22.110001,22.309998999999998,22.309998999999998,19610300
AAL,02/27/20,20.85,22.48,19.77,20.6,20.6,31897300
AAL,02/28/20,19.799999,20.35,18.77,19.049999,19.049999,37166400
AAL,03/02/20,19.049999,19.059998999999998,17.51,18.860001,18.860001,38738000
AAL,03/03/20,19.66,19.790001,17.799999,17.85,17.85,35402500
AAL,03/04/20,18.360001,18.549999,17.299999,18.530001000000002,18.530001000000002,44362100
AAL,03/05/20,17.540001,17.65,15.98,16.040001,16.040001,44656800
AAL,03/06/20,15.02,17.120001000000002,14.8,15.97,15.97,54505000
AAL,03/09/20,14.87,15.79,14.46,14.75,14.75,42558000
AAL,03/10/20,15.82,17.67,14.61,17.0,17.0,56972700
AAL,03/11/20,16.309998999999998,16.49,15.52,16.26,16.26,43705800
AAL,03/12/20,14.05,15.75,13.33,13.45,13.45,53968500
AAL,03/13/20,15.3,15.6,13.12,14.31,14.31,58376100
AAL,03/16/20,12.41,16.200001,12.0,15.92,15.92,84916800
AAL,03/17/20,15.79,18.49,14.79,15.58,15.58,58055800
AAL,03/18/20,14.24,14.28,10.17,11.65,11.65,78458800
AAL,03/19/20,11.6,12.16,10.01,10.29,10.29,71584500
AAL,03/20/20,10.65,12.0,10.3,10.38,10.38,62681800
AAL,03/23/20,10.9,11.36,10.01,10.25,10.25,56427300
AAL,03/24/20,11.96,14.81,11.54,13.92,13.92,101553100
AAL,03/25/20,16.690001000000002,16.99,14.31,15.39,15.39,93795100
AAL,03/26/20,16.059998999999998,17.24,15.16,15.66,15.66,77530600
AAL,03/27/20,14.98,15.22,13.91,14.04,14.04,50783500
AAL,03/30/20,13.2,13.22,11.81,12.25,12.25,50516800
AAL,03/31/20,12.9,12.96,12.1,12.19,12.19,44851400
AAL,04/01/20,11.45,11.48,10.5,10.69,10.69,56854400
AAL,04/02/20,10.61,11.03,10.0,10.06,10.06,65534600
