Name,Date,Open,High,Low,Close,Adj Close,Volume
AAOI,02/12/16,14.65,15.34,14.44,15.3,15.3,149100
AAOI,02/16/16,15.52,16.089001,15.31,15.98,15.98,220400
AAOI,02/17/16,16.17,17.110001,16.17,16.43,16.43,365700
AAOI,02/18/16,16.6,16.67,15.73,16.469998999999998,16.469998999999998,184200
AAOI,02/19/16,16.26,16.469998999999998,15.91,15.98,15.98,219800
AAOI,02/22/16,16.24,16.57,16.01,16.32,16.32,140400
AAOI,02/23/16,16.299999,16.780001000000002,16.070999,16.450001,16.450001,233400
AAOI,02/24/16,16.17,16.280001000000002,15.6,15.97,15.97,287500
AAOI,02/25/16,16.0,17.0,15.01,16.889999,16.889999,1009700
AAOI,02/26/16,17.0,18.959999,16.58,18.219998999999998,18.219998999999998,568000
AAOI,02/29/16,18.23,18.75,17.141001,17.99,17.99,273900
AAOI,03/01/16,18.17,18.42,17.700001,18.33,18.33,267200
AAOI,03/02/16,18.32,18.5,18.120001000000002,18.290001,18.290001,252800
AAOI,03/03/16,18.290001,18.57,18.01,18.32,18.32,154600
AAOI,03/04/16,18.27,18.790001,17.959999,18.24,18.24,210100
AAOI,03/07/16,18.15,18.48,17.889999,18.120001000000002,18.120001000000002,196100
AAOI,03/08/16,17.84,17.84,16.959999,16.99,16.99,164800
AAOI,03/09/16,17.139999,17.219998999999998,16.77,17.02,17.02,161600
AAOI,03/10/16,17.049999,17.27,16.700001,17.040001,17.040001,151100
AAOI,03/11/16,17.540001,17.629998999999998,17.18,17.610001,17.610001,128600
AAOI,03/14/16,17.57,18.09,17.440001000000002,17.450001,17.450001,163100
AAOI,03/15/16,17.23,17.33,16.809998999999998,16.91,16.91,148300
AAOI,03/16/16,16.83,17.5,16.5,17.4,17.4,175100
AAOI,03/17/16,17.290001,17.940001000000002,17.190001000000002,17.65,17.65,159400
AAOI,03/18/16,17.76,17.93,17.32,17.559998999999998,17.559998999999998,193600
AAOI,03/21/16,17.530001000000002,17.91,17.450001,17.459999,17.459999,159900
AAOI,03/22/16,17.280001000000002,17.32,15.81,16.16,16.16,540200
AAOI,03/23/16,16.16,16.83,15.79,16.02,16.02,506000
AAOI,03/24/16,15.89,16.129998999999998,15.4,15.79,15.79,375300
AAOI,03/28/16,15.9,15.98,15.11,15.2,15.2,243200
AAOI,03/29/16,15.1,15.2,14.64,15.05,15.05,546900
AAOI,03/30/16,15.3,15.55,15.14,15.27,15.27,433400
AAOI,03/31/16,15.21,15.25,14.71,14.91,14.91,237300
AAOI,04/01/16,14.72,15.38,14.69,15.04,15.04,190300
AAOI,04/04/16,15.05,15.54,14.83,15.09,15.09,243100
AAOI,04/05/16,14.89,15.18,14.26,14.74,14.74,282900
AAOI,04/06/16,14.8,15.13,14.27,14.88,14.88,179400
AAOI,04/07/16,14.74,15.03,14.53,14.7,14.7,175600
AAOI,04/08/16,15.05,15.86,14.82,15.73,15.73,383100
AAOI,04/11/16,15.82,16.440001000000002,15.58,15.91,15.91,274900
AAOI,04/12/16,16.0,16.018,15.23,15.42,15.42,254700
AAOI,04/13/16,15.58,16.309998999999998,15.51,16.040001,16.040001,268200
AAOI,04/14/16,16.1,16.48,15.92,16.25,16.25,126600
AAOI,04/15/16,16.18,16.18,15.76,15.82,15.82,125100
AAOI,04/18/16,15.79,16.110001,15.64,16.110001,16.110001,160400
AAOI,04/19/16,12.74,12.86,11.61,11.72,11.72,5064100
AAOI,04/20/16,11.7,11.82,11.25,11.38,11.38,1118100
AAOI,04/21/16,11.54,11.54,11.01,11.01,11.01,567900
AAOI,04/22/16,11.05,11.6,11.05,11.59,11.59,515800
AAOI,04/25/16,11.51,11.53,11.05,11.08,11.08,392000
AAOI,04/26/16,11.15,11.15,10.65,10.9,10.9,706100
AAOI,04/27/16,10.9,11.5,10.82,11.44,11.44,330400
AAOI,04/28/16,11.31,11.78,11.22,11.34,11.34,588000
AAOI,04/29/16,11.31,11.475,11.0,11.2,11.2,526800
AAOI,05/02/16,11.21,11.37,10.76,11.12,11.12,509000
AAOI,05/03/16,11.04,11.215,10.56,10.65,10.65,445600
AAOI,05/04/16,10.64,10.92,10.54,10.61,10.61,375300
AAOI,05/05/16,10.65,10.87,10.35,10.6,10.6,316700
AAOI,05/06/16,10.58,10.7,10.34,10.56,10.56,268200
AAOI,05/09/16,10.6,10.725,10.26,10.26,10.26,455800
AAOI,05/10/16,8.9,9.15,8.08,8.49,8.49,1899100
AAOI,05/11/16,8.45,9.24,8.435,9.14,9.14,951700
AAOI,05/12/16,9.08,9.34,8.74,8.84,8.84,801500
AAOI,05/13/16,8.84,9.48,8.815,9.15,9.15,534700
AAOI,05/16/16,9.15,9.6,9.15,9.32,9.32,498500
AAOI,05/17/16,9.29,9.555,9.17,9.23,9.23,379300
AAOI,05/18/16,9.12,9.6,9.12,9.37,9.37,368000
AAOI,05/19/16,9.23,9.505,8.7,8.8,8.8,474500
AAOI,05/20/16,8.88,9.19,8.84,9.12,9.12,326800
AAOI,05/23/16,9.19,10.117,9.16,9.97,9.97,480700
AAOI,05/24/16,10.0,10.35,9.78,10.2,10.2,483100
AAOI,05/25/16,10.18,10.265,9.795,10.11,10.11,471700
AAOI,05/26/16,10.11,10.355,10.05,10.2,10.2,425100
AAOI,05/27/16,10.13,10.295,9.85,10.18,10.18,371900
AAOI,05/31/16,10.35,10.76,10.3,10.55,10.55,419200
AAOI,06/01/16,10.5,10.7,10.28,10.47,10.47,666300
AAOI,06/02/16,10.6,11.171,10.56,11.04,11.04,411100
AAOI,06/03/16,10.95,11.135,10.61,10.96,10.96,406800
AAOI,06/06/16,10.94,11.55,10.94,11.41,11.41,505700
AAOI,06/07/16,11.36,11.64,11.25,11.41,11.41,258100
AAOI,06/08/16,11.33,11.54,11.29,11.44,11.44,306700
AAOI,06/09/16,11.38,11.525,10.63,10.76,10.76,327900
AAOI,06/10/16,10.65,10.898,10.12,10.26,10.26,438200
AAOI,06/13/16,10.17,10.55,9.9,9.95,9.95,340600
AAOI,06/14/16,9.87,10.33,9.78,9.95,9.95,353500
AAOI,06/15/16,9.9,10.54,9.86,10.19,10.19,292700
AAOI,06/16/16,10.14,10.19,9.8,10.15,10.15,499600
AAOI,06/17/16,10.25,10.26,9.85,9.87,9.87,412500
AAOI,06/20/16,10.28,10.67,10.17,10.2,10.2,327700
AAOI,06/21/16,10.25,10.265,9.92,10.1,10.1,152400
AAOI,06/22/16,10.1,10.35,10.06,10.3,10.3,278600
AAOI,06/23/16,10.39,10.53,10.29,10.51,10.51,227000
AAOI,06/24/16,9.86,9.966,9.7,9.82,9.82,589600
AAOI,06/27/16,9.77,9.77,9.07,9.2,9.2,452000
AAOI,06/28/16,9.53,9.92,9.52,9.9,9.9,204600
AAOI,06/29/16,10.18,10.489,10.0,10.4,10.4,210600
AAOI,06/30/16,10.44,11.17,10.44,11.15,11.15,399500
AAOI,07/01/16,11.1,11.5,10.96,11.22,11.22,196300
AAOI,07/05/16,11.07,11.07,10.37,10.6,10.6,283700
AAOI,07/06/16,10.44,11.005,10.34,10.77,10.77,294000
AAOI,07/07/16,10.82,11.2,10.82,11.1,11.1,177600
AAOI,07/08/16,11.2,11.48,11.19,11.3,11.3,227800
AAOI,07/11/16,11.49,11.53,10.86,11.07,11.07,458800
AAOI,07/12/16,11.24,11.6,10.78,11.56,11.56,343300
AAOI,07/13/16,11.62,11.79,11.52,11.58,11.58,201700
AAOI,07/14/16,11.71,11.785,11.451,11.56,11.56,217000
AAOI,07/15/16,11.65,11.88,11.384,11.76,11.76,214500
AAOI,07/18/16,11.9,12.05,11.66,11.76,11.76,206500
AAOI,07/19/16,11.73,11.78,11.5,11.51,11.51,97600
AAOI,07/20/16,11.94,11.95,11.51,11.86,11.86,252400
AAOI,07/21/16,11.86,12.21,11.751,12.06,12.06,243600
AAOI,07/22/16,12.11,12.27,12.02,12.24,12.24,157300
AAOI,07/25/16,12.27,12.49,12.165,12.33,12.33,190800
AAOI,07/26/16,12.36,12.79,12.36,12.67,12.67,253000
AAOI,07/27/16,13.31,13.52,12.51,12.74,12.74,201100
AAOI,07/28/16,12.6,12.78,12.22,12.23,12.23,185100
AAOI,07/29/16,12.23,12.28,11.77,11.84,11.84,303200
AAOI,08/01/16,11.75,12.21,11.75,12.1,12.1,380400
AAOI,08/02/16,12.12,12.3,11.6,11.64,11.64,199400
AAOI,08/03/16,11.79,12.365,11.67,12.27,12.27,240700
AAOI,08/04/16,12.28,12.889,12.28,12.82,12.82,367700
AAOI,08/05/16,14.66,15.25,14.02,14.79,14.79,1520100
AAOI,08/08/16,14.79,14.94,14.2,14.29,14.29,339200
AAOI,08/09/16,14.25,14.41,13.93,13.97,13.97,402200
AAOI,08/10/16,14.09,14.09,13.46,13.6,13.6,297000
AAOI,08/11/16,13.74,13.82,13.47,13.55,13.55,372000
AAOI,08/12/16,13.58,14.05,13.43,14.01,14.01,493800
AAOI,08/15/16,14.05,14.18,13.85,14.03,14.03,240200
AAOI,08/16/16,14.02,14.18,13.92,14.0,14.0,265200
AAOI,08/17/16,13.97,13.97,13.27,13.31,13.31,241900
AAOI,08/18/16,13.17,13.437,13.06,13.34,13.34,447600
AAOI,08/19/16,13.33,13.82,13.08,13.74,13.74,285600
AAOI,08/22/16,13.66,13.68,13.342,13.64,13.64,100800
AAOI,08/23/16,13.82,14.19,13.74,14.02,14.02,176000
AAOI,08/24/16,13.97,14.228,13.86,13.88,13.88,143700
AAOI,08/25/16,15.35,16.43,14.66,16.110001,16.110001,1753100
AAOI,08/26/16,16.0,16.42,15.59,16.370001000000002,16.370001000000002,609500
AAOI,08/29/16,16.469998999999998,17.17,16.09,16.85,16.85,643100
AAOI,08/30/16,15.93,17.08,15.93,16.99,16.99,274800
