Name,Date,Open,High,Low,Close,Adj Close,Volume
ABEO,02/12/16,2.32,2.41,2.25,2.4,2.4,36100
ABEO,02/16/16,2.47,2.55,2.37,2.49,2.49,56300
ABEO,02/17/16,2.56,2.73,2.54,2.61,2.61,63100
ABEO,02/18/16,2.63,2.77,2.63,2.65,2.65,32600
ABEO,02/19/16,2.65,2.67,2.61,2.64,2.64,17400
ABEO,02/22/16,2.69,2.69,2.29,2.48,2.48,266800
ABEO,02/23/16,2.49,2.57,2.37,2.38,2.38,65000
ABEO,02/24/16,2.37,2.45,2.28,2.4,2.4,52000
ABEO,02/25/16,2.44,2.46,2.26,2.3,2.3,42100
ABEO,02/26/16,2.38,2.44,2.33,2.4,2.4,36100
ABEO,02/29/16,2.43,2.5,2.21,2.24,2.24,88400
ABEO,03/01/16,2.3,2.3,2.05,2.1,2.1,134800
ABEO,03/02/16,2.15,2.27,2.15,2.25,2.25,54900
ABEO,03/03/16,2.28,2.49,2.19,2.35,2.35,86600
ABEO,03/04/16,2.37,2.9,2.31,2.56,2.56,116200
ABEO,03/07/16,2.58,2.9,2.58,2.82,2.82,114600
ABEO,03/08/16,2.82,2.82,2.59,2.63,2.63,41700
ABEO,03/09/16,2.68,2.71,2.61,2.68,2.68,18700
ABEO,03/10/16,2.73,2.76,2.66,2.71,2.71,25600
ABEO,03/11/16,2.72,2.79,2.69,2.79,2.79,26100
ABEO,03/14/16,2.8,2.99,2.75,2.95,2.95,61900
ABEO,03/15/16,2.92,3.0,2.84,2.84,2.84,23000
ABEO,03/16/16,2.84,2.99,2.68,2.75,2.75,35300
ABEO,03/17/16,2.74,2.87,2.7,2.8,2.8,19100
ABEO,03/18/16,2.82,2.92,2.77,2.9,2.9,54600
ABEO,03/21/16,2.88,2.98,2.83,2.94,2.94,45300
ABEO,03/22/16,2.94,2.98,2.88,2.89,2.89,26100
ABEO,03/23/16,2.87,2.96,2.63,2.63,2.63,44300
ABEO,03/24/16,2.61,2.88,2.51,2.67,2.67,182800
ABEO,03/28/16,2.72,2.73,2.45,2.6,2.6,82400
ABEO,03/29/16,2.61,2.87,2.58,2.86,2.86,41300
ABEO,03/30/16,2.89,2.95,2.58,2.66,2.66,50700
ABEO,03/31/16,2.67,2.78,2.55,2.56,2.56,47100
ABEO,04/01/16,2.55,2.9,2.53,2.83,2.83,70300
ABEO,04/04/16,2.88,3.19,2.85,3.01,3.01,313400
ABEO,04/05/16,3.0,3.16,2.67,3.03,3.03,149300
ABEO,04/06/16,3.05,3.13,2.9,2.96,2.96,106000
ABEO,04/07/16,2.96,2.96,2.74,2.75,2.75,128900
ABEO,04/08/16,2.78,2.81,2.61,2.64,2.64,59700
ABEO,04/11/16,2.7,2.72,2.6,2.61,2.61,60500
ABEO,04/12/16,2.6,2.68,2.5,2.57,2.57,57100
ABEO,04/13/16,2.57,2.71,2.54,2.66,2.66,76400
ABEO,04/14/16,2.68,2.82,2.67,2.75,2.75,58200
ABEO,04/15/16,2.75,2.86,2.75,2.78,2.78,45000
ABEO,04/18/16,2.79,2.86,2.72,2.81,2.81,52000
ABEO,04/19/16,2.85,2.85,2.67,2.73,2.73,44500
ABEO,04/20/16,2.86,2.86,2.65,2.69,2.69,53900
ABEO,04/21/16,2.7,2.78,2.66,2.74,2.74,26500
ABEO,04/22/16,2.75,2.8,2.7,2.77,2.77,39000
ABEO,04/25/16,2.78,2.79,2.72,2.74,2.74,34400
ABEO,04/26/16,2.76,2.76,2.6,2.73,2.73,57900
ABEO,04/27/16,2.74,2.81,2.65,2.75,2.75,29100
ABEO,04/28/16,2.72,2.82,2.71,2.78,2.78,37000
ABEO,04/29/16,2.78,2.78,2.65,2.72,2.72,56200
ABEO,05/02/16,2.72,2.72,2.51,2.69,2.69,58700
ABEO,05/03/16,2.66,2.66,2.53,2.62,2.62,34100
ABEO,05/04/16,2.6,2.61,2.41,2.44,2.44,100000
ABEO,05/05/16,2.42,2.49,2.29,2.42,2.42,129400
ABEO,05/06/16,2.41,2.45,2.32,2.41,2.41,49500
ABEO,05/09/16,2.4,2.52,2.4,2.48,2.48,29300
ABEO,05/10/16,2.52,2.52,2.42,2.48,2.48,14200
ABEO,05/11/16,2.45,2.48,2.41,2.44,2.44,23100
ABEO,05/12/16,2.35,2.38,2.27,2.27,2.27,42600
ABEO,05/13/16,2.28,2.4,2.28,2.35,2.35,47700
ABEO,05/16/16,2.3,2.41,2.3,2.41,2.41,46400
ABEO,05/17/16,2.41,2.46,2.37,2.42,2.42,65800
ABEO,05/18/16,2.43,2.52,2.41,2.51,2.51,38500
ABEO,05/19/16,2.46,2.59,2.44,2.45,2.45,20400
ABEO,05/20/16,2.48,2.53,2.41,2.49,2.49,30400
ABEO,05/23/16,2.51,2.56,2.5,2.52,2.52,44100
ABEO,05/24/16,2.57,2.73,2.5,2.67,2.67,86600
ABEO,05/25/16,2.65,3.12,2.65,3.04,3.04,208000
ABEO,05/26/16,3.07,3.29,3.0,3.22,3.22,205900
ABEO,05/27/16,3.25,3.36,3.21,3.26,3.26,141200
ABEO,05/31/16,3.32,3.35,2.91,2.92,2.92,209800
ABEO,06/01/16,2.86,3.04,2.86,2.99,2.99,58500
ABEO,06/02/16,3.1,3.11,2.94,3.04,3.04,48300
ABEO,06/03/16,3.05,3.09,3.0,3.03,3.03,68200
ABEO,06/06/16,3.02,3.15,2.99,3.14,3.14,50700
ABEO,06/07/16,3.13,3.2,3.0,3.08,3.08,37300
ABEO,06/08/16,3.08,3.18,3.01,3.16,3.16,39400
ABEO,06/09/16,3.11,3.18,3.11,3.16,3.16,46000
ABEO,06/10/16,3.13,3.23,3.06,3.11,3.11,52100
ABEO,06/13/16,3.05,3.18,2.96,3.0,3.0,65200
ABEO,06/14/16,2.96,3.1,2.88,2.96,2.96,69600
ABEO,06/15/16,2.95,3.05,2.89,2.9,2.9,97900
ABEO,06/16/16,2.87,2.88,2.77,2.85,2.85,79100
ABEO,06/17/16,2.88,2.95,2.83,2.89,2.89,73100
ABEO,06/20/16,2.92,2.94,2.78,2.8,2.8,64000
ABEO,06/21/16,2.78,2.86,2.58,2.76,2.76,69100
ABEO,06/22/16,2.74,2.78,2.5,2.68,2.68,40800
ABEO,06/23/16,2.76,2.76,2.6,2.71,2.71,70500
ABEO,06/24/16,2.57,2.67,2.46,2.56,2.56,908200
ABEO,06/27/16,2.47,2.65,2.34,2.44,2.44,62300
ABEO,06/28/16,2.44,2.6,2.36,2.43,2.43,46800
ABEO,06/29/16,2.43,2.44,2.33,2.37,2.37,51900
ABEO,06/30/16,2.39,2.42,2.32,2.36,2.36,66500
ABEO,07/01/16,2.36,2.45,2.36,2.43,2.43,49500
ABEO,07/05/16,2.43,2.45,2.31,2.42,2.42,40400
ABEO,07/06/16,2.42,2.44,2.32,2.34,2.34,23900
ABEO,07/07/16,2.34,2.44,2.32,2.32,2.32,19900
ABEO,07/08/16,2.35,2.4,2.35,2.37,2.37,33500
ABEO,07/11/16,2.39,2.45,2.36,2.37,2.37,52400
ABEO,07/12/16,2.37,2.49,2.37,2.44,2.44,78100
ABEO,07/13/16,2.45,2.5,2.35,2.43,2.43,58200
ABEO,07/14/16,2.44,2.44,2.31,2.37,2.37,116400
ABEO,07/15/16,2.33,2.45,2.33,2.42,2.42,52900
ABEO,07/18/16,2.45,2.48,2.36,2.41,2.41,50000
ABEO,07/19/16,2.38,2.56,2.38,2.41,2.41,184500
ABEO,07/20/16,2.44,2.51,2.41,2.48,2.48,47900
