Name,Date,Open,High,Low,Close,Adj Close,Volume
ABUS,02/12/16,3.0,3.03,2.9,3.0,3.0,126700
ABUS,02/16/16,3.01,3.13,2.92,3.07,3.07,143300
ABUS,02/17/16,3.13,3.18,3.01,3.15,3.15,330200
ABUS,02/18/16,3.14,3.19,3.05,3.11,3.11,81900
ABUS,02/19/16,3.1,3.22,3.06,3.13,3.13,171300
ABUS,02/22/16,3.2,3.29,3.13,3.21,3.21,165700
ABUS,02/23/16,3.22,3.29,3.12,3.17,3.17,115600
ABUS,02/24/16,3.15,3.19,2.99,3.08,3.08,157500
ABUS,02/25/16,3.1,3.13,2.97,2.99,2.99,63100
ABUS,02/26/16,3.0,3.22,2.97,3.09,3.09,226400
ABUS,02/29/16,3.16,3.22,3.11,3.16,3.16,151300
ABUS,03/01/16,3.18,3.24,3.1,3.15,3.15,220500
ABUS,03/02/16,3.16,3.61,3.14,3.6,3.6,392700
ABUS,03/03/16,3.67,3.68,3.57,3.59,3.59,104100
ABUS,03/04/16,3.59,4.0,3.5,3.91,3.91,363700
ABUS,03/07/16,4.0,4.3,3.99,4.01,4.01,360300
ABUS,03/08/16,3.98,4.17,3.92,3.96,3.96,151400
ABUS,03/09/16,3.97,3.98,3.73,3.88,3.88,214300
ABUS,03/10/16,3.9,3.97,3.71,3.74,3.74,124100
ABUS,03/11/16,3.79,3.91,3.7,3.85,3.85,118900
ABUS,03/14/16,3.86,3.98,3.77,3.94,3.94,156300
ABUS,03/15/16,3.97,3.97,3.6,3.69,3.69,201800
ABUS,03/16/16,3.7,3.74,3.57,3.69,3.69,123400
ABUS,03/17/16,3.73,3.75,3.5,3.64,3.64,131900
ABUS,03/18/16,3.64,3.98,3.58,3.96,3.96,114100
ABUS,03/21/16,3.98,4.3,3.98,4.13,4.13,263400
ABUS,03/22/16,4.15,4.4,4.11,4.34,4.34,196800
ABUS,03/23/16,4.3,4.31,3.82,3.89,3.89,242300
ABUS,03/24/16,3.88,4.07,3.71,3.99,3.99,104600
ABUS,03/28/16,4.0,4.0,3.73,3.81,3.81,135900
ABUS,03/29/16,3.81,4.18,3.64,4.09,4.09,123500
ABUS,03/30/16,4.15,4.22,3.85,3.94,3.94,123000
ABUS,03/31/16,3.98,4.18,3.98,4.13,4.13,141100
ABUS,04/01/16,4.09,4.28,4.04,4.17,4.17,140700
ABUS,04/04/16,4.11,4.28,4.04,4.15,4.15,168900
ABUS,04/05/16,4.1,4.4,4.07,4.35,4.35,152100
ABUS,04/06/16,4.39,4.72,4.35,4.7,4.7,288800
ABUS,04/07/16,4.75,5.14,4.5,5.06,5.06,445700
ABUS,04/08/16,5.13,5.45,4.79,5.05,5.05,917700
ABUS,04/11/16,5.11,5.23,4.53,4.72,4.72,358100
ABUS,04/12/16,4.74,5.02,4.66,4.92,4.92,260000
ABUS,04/13/16,5.19,5.19,4.84,5.09,5.09,161500
ABUS,04/14/16,5.1,5.17,4.84,4.94,4.94,198100
ABUS,04/15/16,4.96,4.96,4.7,4.85,4.85,110800
ABUS,04/18/16,4.76,5.13,4.75,4.98,4.98,147700
ABUS,04/19/16,5.02,5.05,4.85,4.9,4.9,113400
ABUS,04/20/16,4.91,4.99,4.83,4.96,4.96,75500
ABUS,04/21/16,4.95,5.1,4.94,5.05,5.05,114100
ABUS,04/22/16,5.02,5.48,5.0,5.33,5.33,369600
ABUS,04/25/16,5.44,5.48,5.25,5.29,5.29,209500
ABUS,04/26/16,5.3,5.37,5.1,5.27,5.27,119800
ABUS,04/27/16,5.3,5.34,5.1,5.2,5.2,100400
ABUS,04/28/16,5.2,5.3,5.1,5.17,5.17,113100
ABUS,04/29/16,5.15,5.16,4.8,4.95,4.95,233800
ABUS,05/02/16,4.96,4.96,4.71,4.82,4.82,83900
ABUS,05/03/16,4.75,4.9,4.65,4.69,4.69,140800
ABUS,05/04/16,4.88,4.88,4.58,4.64,4.64,139800
ABUS,05/05/16,4.1,4.62,4.05,4.51,4.51,240500
ABUS,05/06/16,4.46,4.57,4.1,4.15,4.15,133900
ABUS,05/09/16,4.05,4.44,4.05,4.29,4.29,142900
ABUS,05/10/16,4.34,4.5,4.22,4.5,4.5,138200
ABUS,05/11/16,4.5,4.58,4.28,4.31,4.31,65100
ABUS,05/12/16,4.32,4.33,4.19,4.19,4.19,117600
ABUS,05/13/16,4.19,4.42,4.12,4.35,4.35,64500
ABUS,05/16/16,4.15,4.3,3.9,4.16,4.16,287100
ABUS,05/17/16,4.15,4.15,3.9,3.92,3.92,111000
ABUS,05/18/16,3.9,4.06,3.9,4.01,4.01,155400
ABUS,05/19/16,4.0,4.06,3.82,3.89,3.89,80300
ABUS,05/20/16,3.91,4.09,3.91,4.08,4.08,75300
ABUS,05/23/16,4.08,4.17,3.98,4.03,4.03,89700
ABUS,05/24/16,4.02,4.14,3.97,4.06,4.06,113000
ABUS,05/25/16,4.1,4.33,4.05,4.2,4.2,152900
ABUS,05/26/16,4.25,4.27,4.14,4.26,4.26,104500
ABUS,05/27/16,4.25,4.3,4.07,4.1,4.1,68000
ABUS,05/31/16,4.15,4.2,4.04,4.14,4.14,108900
ABUS,06/01/16,4.13,4.13,3.87,3.97,3.97,104800
ABUS,06/02/16,3.99,4.1,3.94,3.99,3.99,156800
