Name,Date,Open,High,Low,Close,Adj Close,Volume
ACBI,02/12/16,12.06,12.715,12.06,12.23,12.23,17600
ACBI,02/16/16,12.4,12.49,11.97,12.15,12.15,36700
ACBI,02/17/16,12.25,12.3,11.78,11.88,11.88,14300
ACBI,02/18/16,11.85,12.41,11.55,11.88,11.88,27900
ACBI,02/19/16,11.87,12.14,11.79,11.89,11.89,51000
ACBI,02/22/16,11.81,12.55,11.81,11.97,11.97,45500
ACBI,02/23/16,11.94,12.55,11.85,12.35,12.35,50300
ACBI,02/24/16,12.27,12.5,12.14,12.47,12.47,29600
ACBI,02/25/16,12.51,12.52,12.436,12.48,12.48,52200
ACBI,02/26/16,12.55,12.75,11.93,12.55,12.55,52800
ACBI,02/29/16,12.62,13.1,12.6,13.01,13.01,34100
ACBI,03/01/16,13.06,13.39,12.51,13.39,13.39,18200
ACBI,03/02/16,13.35,13.35,12.65,13.16,13.16,18700
ACBI,03/03/16,13.13,13.14,12.56,12.65,12.65,16900
ACBI,03/04/16,12.66,13.29,12.6,13.29,13.29,364000
ACBI,03/07/16,13.25,13.25,12.76,13.24,13.24,21100
ACBI,03/08/16,13.08,13.24,13.08,13.21,13.21,23100
ACBI,03/09/16,13.18,13.275,13.18,13.23,13.23,29800
ACBI,03/10/16,13.245,13.46,13.23,13.32,13.32,44100
ACBI,03/11/16,13.23,13.37,12.63,13.32,13.32,17100
ACBI,03/14/16,13.36,13.45,13.24,13.4,13.4,33200
ACBI,03/15/16,13.3,13.5,13.21,13.3,13.3,8200
ACBI,03/16/16,13.34,13.62,13.29,13.5,13.5,51700
ACBI,03/17/16,13.3,13.5,13.24,13.37,13.37,61300
ACBI,03/18/16,13.5,13.714,13.4,13.69,13.69,54900
ACBI,03/21/16,13.59,14.0,13.53,13.96,13.96,57200
ACBI,03/22/16,13.76,13.95,12.892,13.76,13.76,34600
ACBI,03/23/16,13.77,14.0,13.47,13.9,13.9,34100
ACBI,03/24/16,13.9,13.95,13.75,13.94,13.94,34900
ACBI,03/28/16,13.99,14.02,13.8,13.93,13.93,29300
ACBI,03/29/16,13.95,13.95,13.71,13.95,13.95,48100
ACBI,03/30/16,13.94,13.95,13.76,13.92,13.92,43400
ACBI,03/31/16,13.87,13.95,13.81,13.94,13.94,48400
ACBI,04/01/16,13.88,13.95,13.665,13.94,13.94,33200
ACBI,04/04/16,13.94,13.95,13.58,13.89,13.89,51100
ACBI,04/05/16,13.8,13.95,13.62,13.65,13.65,40400
ACBI,04/06/16,13.75,13.95,13.2,13.91,13.91,70200
ACBI,04/07/16,13.9,13.94,13.73,13.82,13.82,42000
